id,school_name,school_address,suburb,postcode,sector,school_type,school_lat,school_lon
379,St Michael's Catholic Primary School,20 North Street,Nowra,2541,Catholic,Primary,-34.872859999999996,150.597327
380,St Michael's Catholic Primary School,Percival Road,Stanmore,2048,Catholic,Primary,-33.892382,151.16499
381,St Michael's Catholic Primary School,Station Street,Thirroul,2515,Catholic,Primary,-34.317496000000006,150.920991
382,St Monica's Primary School,10 Daking Street,North Parramatta,2151,Catholic,Primary,-33.793627,151.001217
383,St Monica's Primary School,32 Francis Rd,Richmond,2753,Catholic,Primary,-33.599585999999995,150.759532
384,St Nicholas of Myra Primary School,Cnr Higgins Street and Lane,Penrith,2750,Catholic,Primary,-33.75482,150.700042
385,St Patrick's College,4 St Johns Road,Campbelltown,2560,Independent,Secondary,-34.078356,150.824679
386,St Patrick's College,Edgar Street,Strathfield,2135,Independent,Combined,-33.874621000000005,151.075674
387,St Patrick's Marist College,151 Kirby Street,Dundas,2117,Catholic,Secondary,-33.802721999999996,151.046824
388,St Patrick's Catholic Primary School,1 Royston Parade,Asquith,2077,Catholic,Primary,-33.685547,151.111529
389,St Patrick's Primary School,51-59 Allawah Street,Blacktown,2148,Catholic,Primary,-33.774574,150.898548
390,St Patrick's Catholic Primary School,Cnr York And Melbourne Streets,Gosford East,2250,Catholic,Primary,-33.436909,151.351495
391,St Patrick's Catholic Primary School,Belmont Street,Sutherland,2232,Catholic,Primary,-34.033941999999996,151.06213
392,St Patrick's Parish School,449 Olive Street,Albury,2640,Catholic,Primary,-36.083551,146.918126
393,St Patrick's Primary School,Gipps Street,Bega,2550,Catholic,Primary,-36.679312,149.842771
394,St Patrick's Primary School,108-116 Bathurst Street,Brewarrina,2839,Catholic,Primary,-29.961078999999998,146.858789
395,St Patrick's Primary School,155 Wollombi Road,Cessnock,2325,Catholic,Primary,-32.835544,151.350789
